Depth,Well,GR,RT,RHOB,NPHI,Facies
3500,15,36.374,1.756,2.468,0.1694,SS
3500.5,15,27.346,1.697,2.446,0.1662,SS
3501,15,16.766,1.924,2.4481,0.166,SS
3501.5,15,19.357,1.987,2.512,0.1679,SS
3502,15,17.445,2.017,2.494,0.1536,SS
3502.5,15,14.036,1.908,2.4781,0.1598,CB
3503,15,16.225,1.981,2.487,0.1505,CB
3503.5,15,15.664,2.088,2.4861,0.1505,CB
3504,15,16.917,2.171,2.5539,0.1407,CB
3504.5,15,14.554,2.254,2.5059,0.138,CB
3505,15,14.081,2.349,2.495,0.1409,CB
3505.5,15,13.683,2.547,2.5181,0.1218,CB
3506,15,16.003,2.397,2.508,0.1441,CB
3506.5,15,11.258,2.488,2.4781,0.1333,CB
3507,15,11.274,2.572,2.5398,0.1314,CB
3507.5,15,19.514,2.593,2.549,0.133,CB
3508,15,19.229,2.367,2.4991,0.138,CB
3508.5,15,13.844,2.232,2.511,0.1414,CB
3509,15,15.342,2.534,2.547,0.127,CB
3509.5,15,13.463,2.633,2.5319,0.139,CB
3510,15,16.587,2.416,2.505,0.1245,CB
3510.5,15,20.583,2.225,2.524,0.1362,CB
3511,15,14.677,2.299,2.517,0.1491,CB
3511.5,15,17.083,2.072,2.5151,0.1642,CB
3512,15,15.465,2.01,2.4611,0.1527,CB
3512.5,15,13.015,2.039,2.4659,0.1546,CB
3513,15,14.066,2.093,2.493,0.1635,CB
3513.5,15,15.395,2.149,2.4781,0.1359,CB
3514,15,17.405,2.15,2.539,0.1437,CB
3514.5,15,12.87,2.102,2.4978,0.1498,CB
3515,15,17.653,2.085,2.508,0.1588,CB
3515.5,15,18.005,2.094,2.5269,0.1399,CB
3516,15,14.461,2.241,2.5251,0.1517,CB
3516.5,15,15.451,2.279,2.489,0.1447,CB
3517,15,15.706,2.096,2.5229,0.1529,CB
3517.5,15,18.227,2.085,2.5071,0.1439,CB
3518,15,18.841,2.087,2.5081,0.1441,CB
3518.5,15,14.911,2.096,2.5109,0.1396,CB
3519,15,11.453,2.025,2.473,0.1434,CB
3519.5,15,13.031,2.275,2.4869,0.1564,CB
3520,15,11.918,2.272,2.4831,0.1458,CB
3520.5,15,13.465,2.239,2.533,0.1376,CB
3521,15,12.548,2.301,2.5238,0.1374,CB
3521.5,15,17.206,2.265,2.5281,0.119,CB
3522,15,15.549,2.345,2.491,0.1449,CB
3522.5,15,10.912,2.445,2.492,0.1053,CB
3523,15,13.857,2.484,2.496,0.1333,CB
3523.5,15,11.504,2.623,2.5221,0.128,CB
3524,15,17.593,2.595,2.5659,0.1205,CB
3524.5,15,20.14,2.718,2.5829,0.1223,CB
3525,15,14.433,2.985,2.5302,0.116,CB
3525.5,15,24.306,2.936,2.545,0.1288,CB
3526,15,21.312,2.733,2.5719,0.1231,CB
3526.5,15,17.628,2.861,2.554,0.124,CB
3527,15,17.446,3.402,2.558,0.1186,CB
3527.5,15,17.338,3.448,2.5651,0.1279,CB
3528,15,18.126,3.25,2.5849,0.1092,CB
3528.5,15,17.154,2.973,2.5431,0.1306,CB
3529,15,15.487,3.014,2.5311,0.1443,CB
3529.5,15,11.822,4.227,2.569,0.0974,CB
3530,15,11.563,4.368,2.586,0.0974,CB
3530.5,15,11.109,4.373,2.5849,0.0906,CB
3531,15,13.417,4.199,2.5621,0.0985,CB
3531.5,15,11.183,4.18,2.5681,0.0887,CB
3532,15,10.445,3.977,2.5691,0.1148,CB
3532.5,15,12.84,4.307,2.5839,0.0946,CB
3533,15,13.98,4.894,2.579,0.098,CB
3533.5,15,18.313,4.5,2.575,0.1045,CB
3534,15,15.838,4.5,2.6039,0.0951,CB
3534.5,15,13.701,4.491,2.57,0.1048,CB
3535,15,15.083,4.254,2.559,0.1017,CB
3535.5,15,12.28,4.037,2.5631,0.1105,CB
3536,15,16.115,3.197,2.4802,0.1357,CB
3536.5,15,12.363,3.48,2.5278,0.1105,CB
3537,15,10.707,4.078,2.5431,0.0973,CB
3537.5,15,14.931,4.067,2.5289,0.1079,CB
3538,15,16.555,4.63,2.559,0.1107,CB
3538.5,15,20.022,4.67,2.578,0.1093,CB
3539,15,22.349,4.393,2.5561,0.1081,CB
3539.5,15,19.926,4.747,2.561,0.116,CB
3540,15,21.947,4.515,2.56,0.1037,CB
3540.5,15,22.87,4.585,2.571,0.1143,CB
3541,15,20.053,5.058,2.5521,0.1011,CB
3541.5,15,22.196,4.767,2.5481,0.1223,CB
3542,15,27.557,4.171,2.5581,0.1249,CB
3542.5,15,16.917,5.02,2.5979,0.1028,CB
3543,15,20.484,5.496,2.5619,0.1023,CB
3543.5,15,13.042,5.718,2.5739,0.0984,CB
3544,15,17.256,5.848,2.5671,0.1056,CB
3544.5,15,19.347,5.996,2.583,0.1003,CB
3545,15,20.502,6.827,2.563,0.0973,CB
3545.5,15,25.086,5.572,2.5791,0.1095,CB
3546,15,21.592,5.946,2.5422,0.1321,CB
3546.5,15,13.346,6.916,2.5839,0.073,CB
3547,15,13.297,6.36,2.573,0.0846,CB
3547.5,15,13.277,5.557,2.6078,0.0902,CB
3548,15,13.239,6.124,2.567,0.0951,CB
3548.5,15,13.14,6.366,2.585,0.0849,CB
3549,15,15.239,5.784,2.5761,0.0893,CB
3549.5,15,18.38,5.175,2.571,0.0992,CB
3550,15,13.839,5.41,2.578,0.0924,CB
3550.5,15,12.31,6.182,2.6069,0.0731,CB
3551,15,13.928,5.726,2.5472,0.0858,CB
3552,15,14.847,6.591,2.6069,0.0865,CB
3552.5,15,9.185,7.583,2.578,0.0889,CB
3553,15,13.951,6.428,2.571,0.0816,CB
3553.5,15,10.253,6.747,2.575,0.0914,CB
3554,15,9.333,7.369,2.558,0.0735,CB
3554.5,15,11.25,6.205,2.563,0.0825,CB
3555,15,16.614,6.805,2.592,0.0923,CB
3555.5,15,14.283,6.914,2.5601,0.0835,CB
3556,15,19.707,5.541,2.559,0.1123,CB
3556.5,15,7.13,6.066,2.5479,0.0846,CB
3557,15,9.872,4.87,2.583,0.0891,CB
3557.5,15,15.3146,5.1724,2.5221,0.1178,CB
3558,15,7.579,6.627,2.5979,0.0719,CB
3558.5,15,7.598,6.736,2.586,0.078,CB
3559,15,7.59,6.718,2.5589,0.0805,CB
3559.5,15,13.303,5.024,2.567,0.0758,CB
